Opp ID,Opp Name,Type,Stage,Product Flag,CRM Region,Close Date,Start Date,Created Date,Qualified Date,Net New ACV (USD),Opp Owner,Account Owner,Week Start,Days from Qualified,Type,Reporting Region,Reporting Manager,Forecast Category
20,OPP - 20 - Net New,Net New,Stage 3,Core,JAPAN,09/01/2025,06/01/2025,2/26/2025,2/26/2025,"$116,883",REP 7,REP 11,2/24/2025,187,Not Run-Rate,JAPAN,Colin Creevey,Pipeline
21,OPP - 21 - Net New,Net New,Stage 3,Core,JAPAN,07/01/2025,07/01/2025,08/04/2023,08/04/2023,"$112,208",REP 7,REP 7,7/31/2023,697,Not Run-Rate,JAPAN,Colin Creevey,Pipeline
22,OPP - 22 - Net New,Net New,Stage 2,Core,AMER,06/01/2025,06/01/2025,3/17/2025,3/17/2025,"$108,900",REP 14,NOT ASSIGNED,3/17/2025,76,Not Run-Rate,AMER,Hermione Granger,Pipeline
23,OPP - 23 - Net New,Net New,Stage 4,Core,AMER,4/30/2025,4/30/2024,9/13/2023,9/13/2023,"$104,000",REP 15,REP 15,09/11/2023,595,Not Run-Rate,AMER,Hermione Granger,Commit
24,OPP - 24 - Upsell,Upsell,Stage 3,Dash,APAC,5/30/2025,5/30/2025,03/11/2025,03/11/2025,"$102,941",REP 16,REP 30,03/10/2025,80,Not Run-Rate,APAC,Severus Snape,Pipeline
25,OPP - 25 - Net New,Net New,Stage 3,Core,AMER,6/29/2025,10/24/2025,3/13/2025,04/01/2025,"$100,980",REP 8,REP 19,3/31/2025,108,Not Run-Rate,AMER,Filius Flitwick,Pipeline
26,OPP - 26 - Net New,Net New,Stage 2,Core,AMER,7/31/2025,7/31/2025,04/10/2025,04/10/2025,"$95,850",REP 15,REP 15,04/07/2025,112,Not Run-Rate,AMER,Hermione Granger,Pipeline
27,OPP - 27 - Upsell,Upsell,Stage 3,Core,EMEA,6/25/2025,6/25/2025,03/07/2025,03/07/2025,"$92,555",REP 17,REP 17,03/03/2025,110,Not Run-Rate,EMEA,Amelia Bones,Pipeline
28,OPP - 28 - Net New,Net New,Stage 2,Core,AMER,06/01/2025,06/01/2025,3/17/2025,3/17/2025,"$89,700",REP 14,NOT ASSIGNED,3/17/2025,76,Not Run-Rate,AMER,Hermione Granger,Pipeline
29,OPP - 29 - Net New,Net New,Stage 2,Core,JAPAN,9/30/2025,9/30/2025,11/21/2024,11/21/2024,"$87,662",REP 5,REP 5,11/18/2024,313,Not Run-Rate,JAPAN,Colin Creevey,Pipeline
30,OPP - 30 - Net New,Net New,Stage 3,Core,JAPAN,6/30/2025,4/30/2025,9/25/2024,9/25/2024,"$86,258",REP 18,REP 18,9/23/2024,278,Not Run-Rate,JAPAN,Colin Creevey,Pipeline
31,OPP - 31 - Net New,Net New,Stage 2,Core,EMEA,7/31/2025,1/31/2025,11/08/2024,11/08/2024,"$84,205",REP 9,REP 9,11/04/2024,265,Not Run-Rate,EMEA,Amelia Bones,Pipeline
32,OPP - 32 - Net New,Net New,Stage 2,Sign,AMER,7/31/2025,7/31/2025,12/30/2024,01/02/2025,"$79,200",REP 2,NOT ASSIGNED,12/30/2024,213,Not Run-Rate,AMER,Hermione Granger,Pipeline
33,OPP - 33 - Renewal,Renewal,Stage 2,Core,AMER,8/20/2025,4/20/2025,8/18/2022,8/19/2022,"$77,601",REP 19,REP 19,8/15/2022,1098,Not Run-Rate,AMER,Susan Bones,Pipeline
34,OPP - 34 - Net New,Net New,Stage 2,Dash,JAPAN,6/30/2025,6/30/2025,04/08/2025,04/08/2025,"$75,128",REP 5,REP 5,04/07/2025,83,Not Run-Rate,JAPAN,Colin Creevey,Pipeline
35,OPP - 35 - Net New,Net New,Stage 2,Core,AMER,5/29/2025,5/29/2025,7/31/2024,7/31/2024,"$75,000",REP 20,REP 20,7/29/2024,302,Not Run-Rate,AMER,Filius Flitwick,Pipeline
36,OPP - 36 - Net New,Net New,Stage 2,Dash,AMER,7/31/2025,05/12/2025,3/27/2025,3/28/2025,"$75,000",REP 21,NOT ASSIGNED,3/24/2025,126,Not Run-Rate,DASH,Remus Lupin,Pipeline
37,OPP - 37 - Net New,Net New,Stage 2,Core,JAPAN,04/05/2025,02/04/2025,02/04/2025,02/04/2025,"$72,935",REP 7,REP 7,02/03/2025,60,Not Run-Rate,JAPAN,Colin Creevey,Pipeline
38,OPP - 38 - Upsell,Upsell,Stage 2,Dash,AMER,5/30/2025,2/24/2025,2/24/2025,03/11/2025,"$70,800",REP 4,REP 36,03/10/2025,95,Not Run-Rate,AMER,Harry Potter,Pipeline
39,OPP - 39 - Upsell,Upsell,Stage 4,Core,AMER,4/30/2025,05/01/2025,1/30/2025,1/30/2025,"$69,890",REP 10,REP 10,1/27/2025,90,Not Run-Rate,AMER,Susan Bones,Best Case
40,OPP - 40 - Net New,Net New,Stage 2,Core,AMER,4/30/2025,1/31/2025,9/27/2024,11/19/2024,"$69,300",REP 22,REP 22,11/18/2024,215,Not Run-Rate,AMER,Filius Flitwick,Pipeline
41,OPP - 41 - Net New,Net New,Stage 2,Dash,APAC,6/30/2025,3/31/2025,10/17/2024,10/31/2024,"$69,020",REP 23,REP 23,10/28/2024,256,Not Run-Rate,APAC,Severus Snape,Pipeline
42,OPP - 42 - Upsell,Upsell,Stage 2,Core,EMEA,7/18/2025,2/28/2025,2/28/2025,2/28/2025,"$66,088",REP 24,REP 24,2/24/2025,140,Not Run-Rate,EMEA,Amelia Bones,Pipeline
43,OPP - 43 - Net New,Net New,Stage 2,Sign,AMER,6/30/2025,6/30/2025,3/19/2024,6/27/2024,"$65,894",REP 25,REP 48,6/24/2024,468,Not Run-Rate,AMER,Harry Potter,Pipeline
44,OPP - 44 - Upsell,Upsell,Stage 2,Core,EMEA,5/24/2025,04/02/2025,04/02/2025,04/08/2025,"$64,783",REP 26,REP 26,04/07/2025,52,Not Run-Rate,EMEA,Ron Weasley,Pipeline
45,OPP - 45 - Net New,Net New,Stage 2,Core,JAPAN,6/23/2025,6/23/2025,1/30/2025,1/30/2025,"$63,312",REP 5,REP 5,1/27/2025,144,Not Run-Rate,JAPAN,Colin Creevey,Pipeline
46,OPP - 46 - Net New,Net New,Stage 4,Dash,AMER,6/30/2025,6/30/2025,10/16/2024,10/17/2024,"$62,016",REP 27,REP 39,10/14/2024,257,Not Run-Rate,AMER,Filius Flitwick,Best Case
47,OPP - 47 - Net New,Net New,Stage 2,Core,JAPAN,05/01/2025,03/02/2025,03/02/2025,03/03/2025,"$60,901",REP 5,NOT ASSIGNED,03/03/2025,60,Not Run-Rate,JAPAN,Colin Creevey,Pipeline
48,OPP - 48 - Net New,Net New,Stage 2,Core,JAPAN,5/31/2025,10/03/2024,10/02/2024,10/02/2024,"$60,779",REP 7,REP 7,9/30/2024,241,Not Run-Rate,JAPAN,Colin Creevey,Pipeline
49,OPP - 49 - Upsell,Upsell,Stage 2,Dash,AMER,05/02/2025,01/09/2025,01/09/2025,1/14/2025,"$60,000",REP 4,REP 54,1/13/2025,113,Not Run-Rate,AMER,Filius Flitwick,Pipeline
50,OPP - 50 - Net New,Net New,Stage 2,Core,AMER,6/30/2025,6/30/2025,1/24/2025,1/24/2025,"$60,000",REP 28,REP 28,1/20/2025,157,Not Run-Rate,AMER,Susan Bones,Pipeline
51,OPP - 51 - Net New,Net New,Stage 2,Dash,AMER,5/30/2025,5/30/2025,2/24/2025,2/24/2025,"$60,000",REP 16,REP 50,2/24/2025,95,Not Run-Rate,AMER,Harry Potter,Pipeline
52,OPP - 52 - Net New,Net New,Stage 3,Core,AMER,9/30/2025,06/01/2025,1/16/2025,1/16/2025,"$60,000",REP 10,REP 10,1/13/2025,257,Not Run-Rate,AMER,Susan Bones,Pipeline
53,OPP - 53 - Net New,Net New,Stage 2,Core,EMEA,7/31/2025,11/22/2024,10/18/2024,10/18/2024,"$57,122",REP 9,REP 9,10/14/2024,286,Not Run-Rate,EMEA,Amelia Bones,Pipeline
54,OPP - 54 - Net New,Net New,Stage 2,Core,JAPAN,9/22/2025,9/22/2025,12/17/2024,12/17/2024,"$56,104",REP 5,REP 5,12/16/2024,279,Not Run-Rate,JAPAN,Colin Creevey,Pipeline
55,OPP - 55 - Net New,Net New,Stage 3,Core,AMER,7/18/2025,7/18/2025,04/11/2025,04/11/2025,"$55,392",REP 29,REP 29,04/07/2025,98,Not Run-Rate,AMER,Susan Bones,Pipeline
56,OPP - 56 - Net New,Net New,Stage 3,Core,APAC,5/31/2025,5/31/2025,1/28/2025,1/28/2025,"$55,328",REP 30,NOT ASSIGNED,1/27/2025,123,Not Run-Rate,APAC,Severus Snape,Pipeline
57,OPP - 57 - Net New,Net New,Stage 2,Dash,AMER,9/28/2025,9/28/2025,3/14/2025,3/14/2025,"$54,600",REP 3,REP 3,03/10/2025,198,Not Run-Rate,AMER,Susan Bones,Pipeline
58,OPP - 58 - Upsell,Upsell,Stage 2,Core,JAPAN,08/01/2025,08/01/2025,3/18/2025,3/18/2025,"$52,597",REP 5,REP 5,3/17/2025,136,Not Run-Rate,JAPAN,Colin Creevey,Pipeline
59,OPP - 59 - Upsell,Upsell,Stage 5,Core,AMER,06/08/2025,06/08/2025,03/11/2025,03/11/2025,"$52,431",REP 3,REP 3,03/10/2025,89,Not Run-Rate,AMER,Susan Bones,Commit
60,OPP - 60 - Net New,Net New,Stage 2,Core,EMEA,5/28/2025,3/20/2025,1/23/2025,1/23/2025,"$51,697",REP 31,REP 31,1/20/2025,125,Not Run-Rate,EMEA,Terry Boot,Pipeline
61,OPP - 61 - Net New,Net New,Stage 2,Core,AMER,6/30/2025,04/01/2025,8/14/2024,8/14/2024,"$51,480",REP 8,REP 8,08/12/2024,320,Not Run-Rate,AMER,Filius Flitwick,Pipeline
62,OPP - 62 - Renewal,Renewal,Stage 2,Core,AMER,07/01/2025,07/01/2025,08/04/2024,9/30/2024,"$49,536",REP 20,REP 20,9/30/2024,331,Not Run-Rate,AMER,Filius Flitwick,Pipeline
63,OPP - 63 - Renewal,Renewal,Stage 5,Dash,AMER,6/30/2025,6/30/2025,10/20/2022,02/12/2025,"$48,450",REP 8,REP 8,02/10/2025,984,Not Run-Rate,AMER,Filius Flitwick,Commit
64,OPP - 64 - Renewal,Renewal,Stage 2,Core,AMER,5/30/2025,2/20/2026,2/19/2025,2/19/2025,"$48,187",REP 3,REP 3,2/17/2025,100,Not Run-Rate,AMER,Susan Bones,Pipeline
65,OPP - 65 - Net New,Net New,Stage 2,Core,AMER,9/30/2025,9/30/2025,04/02/2025,04/02/2025,"$48,000",REP 32,REP 32,3/31/2025,181,Not Run-Rate,AMER,Hermione Granger,Pipeline
66,OPP - 66 - Net New,Net New,Stage 3,Sign,AMER,6/30/2025,6/30/2025,01/10/2025,01/10/2025,"$48,000",REP 6,REP 6,01/06/2025,171,Not Run-Rate,AMER,Cho Chang,Pipeline
67,OPP - 67 - Upsell,Upsell,Stage 4,Dash,AMER,6/30/2025,3/31/2025,01/10/2025,01/10/2025,"$48,000",REP 27,REP 50,01/06/2025,171,Not Run-Rate,AMER,Harry Potter,Best Case
68,OPP - 68 - Upsell,Upsell,Stage 2,Core,JAPAN,9/26/2025,8/30/2022,8/29/2022,10/10/2023,"$47,864",REP 11,REP 11,10/09/2023,1124,Not Run-Rate,JAPAN,Colin Creevey,Pipeline
69,OPP - 69 - Renewal,Renewal,Stage 5,Core,AMER,5/21/2025,5/21/2025,05/07/2024,2/19/2025,"$46,514",REP 33,REP 33,2/17/2025,379,Not Run-Rate,AMER,Susan Bones,Best Case
70,OPP - 70 - Net New,Net New,Stage 5,Core,EMEA,6/30/2025,12/31/2024,10/30/2024,10/30/2024,"$45,953",REP 9,REP 9,10/28/2024,243,Not Run-Rate,EMEA,Amelia Bones,Commit
71,OPP - 71 - Net New,Net New,Stage 3,Core,EMEA,7/31/2025,01/01/2025,10/25/2024,10/25/2024,"$45,611",REP 9,REP 9,10/21/2024,279,Not Run-Rate,EMEA,Amelia Bones,Pipeline
72,OPP - 72 - Renewal,Renewal,Stage 4,Core,AMER,5/28/2025,5/28/2025,5/24/2024,3/19/2025,"$44,880",REP 29,REP 29,3/17/2025,369,Not Run-Rate,AMER,Susan Bones,Best Case
73,OPP - 73 - Net New,Net New,Stage 2,Core,AMER,6/30/2025,6/30/2025,2/21/2025,03/04/2025,"$44,800",REP 15,REP 15,03/03/2025,129,Not Run-Rate,AMER,Hermione Granger,Pipeline
74,OPP - 74 - Net New,Net New,Stage 2,Sign,AMER,6/30/2025,6/30/2025,04/09/2025,04/09/2025,"$43,930",REP 3,REP 3,04/07/2025,82,Not Run-Rate,AMER,Susan Bones,Pipeline
75,OPP - 75 - Renewal,Renewal,Stage 2,Core,AMER,9/29/2025,9/29/2025,8/20/2024,9/30/2024,"$43,776",REP 8,REP 8,9/30/2024,405,Not Run-Rate,AMER,Filius Flitwick,Pipeline
76,OPP - 76 - Upsell,Upsell,Stage 5,Core,AMER,6/30/2025,4/30/2025,2/19/2025,2/19/2025,"$43,584",REP 10,REP 10,2/17/2025,131,Not Run-Rate,AMER,Susan Bones,Pipeline
77,OPP - 77 - Net New,Net New,Stage 2,Core,APAC,4/15/2025,12/15/2024,10/14/2024,10/14/2024,"$42,667",REP 23,REP 23,10/14/2024,183,Not Run-Rate,APAC,Severus Snape,Pipeline
78,OPP - 78 - Net New,Net New,Stage 2,Sign,AMER,6/23/2025,6/23/2025,8/20/2024,8/20/2024,"$42,240",REP 34,REP 34,8/19/2024,307,Not Run-Rate,AMER,Rubeus Hagrid,Pipeline
79,OPP - 79 - Net New,Net New,Stage 2,Core,AMER,6/30/2025,6/30/2025,2/18/2025,2/18/2025,"$42,240",REP 35,REP 35,2/17/2025,132,Not Run-Rate,AMER,Hermione Granger,Pipeline
80,OPP - 80 - Net New,Net New,Stage 2,Core,EMEA,7/31/2025,12/27/2024,07/09/2024,07/09/2024,"$42,103",REP 9,REP 9,07/08/2024,387,Not Run-Rate,EMEA,Amelia Bones,Pipeline
81,OPP - 81 - Net New,Net New,Stage 2,Dash,AMER,6/20/2025,6/20/2025,3/13/2025,3/13/2025,"$42,000",REP 36,REP 36,03/10/2025,99,Not Run-Rate,AMER,Harry Potter,Pipeline
82,OPP - 82 - Net New,Net New,Stage 2,Dash,APAC,5/23/2025,5/30/2025,2/28/2025,2/28/2025,"$41,176",REP 4,NOT ASSIGNED,2/24/2025,84,Not Run-Rate,DASH,Remus Lupin,Pipeline
83,OPP - 83 - Net New,Net New,Stage 4,Core,AMER,6/20/2025,02/10/2025,7/30/2024,7/30/2024,"$39,897",REP 15,REP 15,7/29/2024,325,Not Run-Rate,AMER,Hermione Granger,Best Case
84,OPP - 84 - Renewal,Renewal,Stage 2,Core,AMER,07/11/2025,07/11/2025,6/26/2024,6/27/2024,"$39,863",REP 37,REP 37,6/24/2024,380,Not Run-Rate,AMER,Susan Bones,Pipeline
85,OPP - 85 - Net New,Net New,Stage 2,Sign,AMER,9/13/2025,9/13/2025,03/05/2025,03/05/2025,"$39,672",REP 36,REP 36,03/03/2025,192,Not Run-Rate,AMER,Harry Potter,Pipeline
86,OPP - 86 - Net New,Net New,Stage 3,Core,AMER,4/30/2025,3/31/2025,12/17/2024,12/17/2024,"$39,600",REP 35,REP 35,12/16/2024,134,Not Run-Rate,AMER,Hermione Granger,Pipeline
87,OPP - 87 - Net New,Net New,Stage 3,Core,AMER,4/30/2025,3/31/2025,02/11/2025,02/11/2025,"$39,600",REP 35,REP 35,02/10/2025,78,Not Run-Rate,AMER,Hermione Granger,Pipeline
88,OPP - 88 - Net New,Net New,Stage 5,Core,AMER,4/14/2025,4/14/2025,10/14/2024,10/16/2024,"$39,600",REP 32,REP 32,10/14/2024,182,Not Run-Rate,AMER,Hermione Granger,Commit
89,OPP - 89 - Net New,Net New,Stage 4,Sign,AMER,04/01/2025,12/31/2024,7/16/2024,7/16/2024,"$38,503",REP 38,REP 38,7/15/2024,259,Not Run-Rate,AMER,Rubeus Hagrid,Best Case
90,OPP - 90 - Net New,Net New,Stage 2,Core,JAPAN,6/30/2025,1/18/2024,1/17/2024,1/17/2024,"$37,987",REP 7,REP 7,1/15/2024,530,Not Run-Rate,JAPAN,Colin Creevey,Pipeline
91,OPP - 91 - Net New,Net New,Stage 2,Core,AMER,6/30/2025,6/30/2025,04/11/2025,04/11/2025,"$37,500",REP 35,REP 35,04/07/2025,80,Not Run-Rate,AMER,Hermione Granger,Pipeline
92,OPP - 92 - Net New,Net New,Stage 2,Core,JAPAN,9/22/2025,9/22/2025,09/03/2024,09/03/2024,"$37,403",REP 5,REP 5,09/02/2024,384,Not Run-Rate,JAPAN,Colin Creevey,Pipeline
93,OPP - 93 - Renewal,Renewal,Stage 6,Sign,AMER,4/15/2025,04/08/2025,5/15/2024,04/03/2025,"$37,277",REP 1,REP 1,3/31/2025,335,Not Run-Rate,AMER,Rubeus Hagrid,Commit
94,OPP - 94 - Renewal,Renewal,Stage 2,Core,EMEA,5/28/2025,07/09/2025,07/01/2024,7/30/2024,"$36,807",REP 31,REP 31,7/29/2024,331,Not Run-Rate,EMEA,Terry Boot,Pipeline
95,OPP - 95 - Upsell,Upsell,Stage 5,Core,JAPAN,5/21/2025,5/21/2025,2/22/2025,2/22/2025,"$36,557",REP 18,REP 18,2/21/2025,88,Not Run-Rate,JAPAN,Colin Creevey,Commit
96,OPP - 96 - Net New,Net New,Stage 2,Core,AMER,7/31/2025,8/31/2024,02/02/2024,02/02/2024,"$36,000",REP 10,REP 10,1/29/2024,545,Not Run-Rate,AMER,Susan Bones,Pipeline
97,OPP - 97 - Net New,Net New,Stage 3,Core,AMER,6/30/2025,6/30/2025,3/29/2025,04/01/2025,"$34,500",REP 14,REP 14,3/31/2025,93,Not Run-Rate,AMER,Hermione Granger,Pipeline
98,OPP - 98 - Renewal,Renewal,Stage 3,Core,EMEA,9/18/2025,9/18/2025,9/18/2023,9/18/2023,"$34,464",REP 24,REP 24,9/18/2023,731,Not Run-Rate,EMEA,Amelia Bones,Pipeline
99,OPP - 99 - Renewal,Renewal,Stage 3,Core,AMER,6/17/2025,6/17/2025,06/05/2024,3/14/2025,"$34,005",REP 10,REP 37,03/10/2025,377,Not Run-Rate,AMER,Susan Bones,Pipeline
100,OPP - 100 - Renewal,Renewal,Stage 2,Core,AMER,08/04/2025,12/30/2024,7/22/2022,11/02/2023,"$33,762",REP 19,REP 19,10/30/2023,1109,Not Run-Rate,AMER,Susan Bones,Pipeline
101,OPP - 101 - Net New,Net New,Stage 5,Core,AMER,6/30/2025,6/22/2025,12/16/2024,12/16/2024,"$30,888",REP 33,REP 33,12/16/2024,196,Not Run-Rate,AMER,Susan Bones,Best Case
102,OPP - 102 - Upsell,Upsell,Stage 3,Dash,AMER,5/30/2025,5/30/2025,01/10/2025,01/10/2025,"$30,504",REP 16,REP 42,01/06/2025,140,Not Run-Rate,AMER,Filius Flitwick,Pipeline
103,OPP - 103 - Net New,Net New,Stage 2,Core,AMER,6/30/2025,3/31/2025,2/21/2025,2/21/2025,"$30,240",REP 15,NOT ASSIGNED,2/17/2025,129,Not Run-Rate,AMER,Hermione Granger,Pipeline
104,OPP - 104 - Net New,Net New,Stage 2,Core,AMER,8/29/2025,01/01/2025,05/10/2024,5/13/2024,"$30,000",REP 39,REP 39,5/13/2024,476,Not Run-Rate,AMER,Filius Flitwick,Pipeline
105,OPP - 105 - Net New,Net New,Stage 2,Dash,AMER,5/23/2025,3/28/2025,2/26/2025,2/26/2025,"$30,000",REP 16,REP 16,2/24/2025,86,Not Run-Rate,DASH,Remus Lupin,Pipeline
106,OPP - 106 - Upsell,Upsell,Stage 3,Dash,AMER,5/30/2025,05/05/2025,01/09/2025,1/14/2025,"$30,000",REP 4,REP 48,1/13/2025,141,Not Run-Rate,AMER,Harry Potter,Best Case
107,OPP - 107 - Net New,Net New,Stage 3,Core,AMER,5/30/2025,2/28/2025,1/13/2025,1/13/2025,"$30,000",REP 15,REP 15,1/13/2025,137,Not Run-Rate,AMER,Hermione Granger,Best Case
108,OPP - 108 - Net New,Net New,Stage 3,Core,AMER,7/31/2025,6/30/2025,2/28/2025,2/28/2025,"$30,000",REP 40,REP 40,2/24/2025,153,Not Run-Rate,AMER,Harry Potter,Pipeline
109,OPP - 109 - Renewal,Renewal,Stage 2,Sign,AMER,5/15/2025,5/15/2025,5/15/2024,3/18/2025,"$29,990",REP 41,REP 34,3/17/2025,365,Not Run-Rate,AMER,Rubeus Hagrid,Pipeline
110,OPP - 110 - Net New,Net New,Stage 2,Dash,APAC,4/25/2025,4/25/2025,2/27/2025,2/27/2025,"$29,412",REP 16,NOT ASSIGNED,2/24/2025,57,Not Run-Rate,DASH,Remus Lupin,Pipeline
111,OPP - 111 - Net New,Net New,Stage 2,Dash,AMER,5/28/2025,03/10/2025,2/27/2025,04/09/2025,"$28,320",REP 4,REP 81,04/07/2025,90,Not Run-Rate,DASH,Remus Lupin,Pipeline
112,OPP - 112 - Net New,Net New,Stage 3,Core,AMER,6/30/2025,9/19/2024,08/01/2024,08/01/2024,"$27,930",REP 8,REP 8,7/29/2024,333,Not Run-Rate,AMER,Filius Flitwick,Pipeline
113,OPP - 113 - Net New,Net New,Stage 3,Sign,EMEA,7/16/2025,10/14/2024,09/03/2024,09/03/2024,"$27,788",REP 24,REP 24,09/02/2024,316,Not Run-Rate,EMEA,Amelia Bones,Pipeline
114,OPP - 114 - Renewal,Renewal,Stage 5,Core,AMER,4/18/2025,4/18/2025,10/18/2024,03/11/2025,"$27,720",REP 42,REP 42,03/10/2025,182,Not Run-Rate,AMER,Filius Flitwick,Commit
115,OPP - 115 - Net New,Net New,Stage 2,Sign,AMER,7/31/2025,06/01/2025,08/02/2024,08/02/2024,"$27,600",REP 40,REP 40,7/29/2024,363,Not Run-Rate,AMER,Harry Potter,Pipeline
116,OPP - 116 - Upsell,Upsell,Stage 3,Dash,EMEA,4/30/2025,3/14/2025,01/09/2025,1/15/2025,"$27,450",REP 13,REP 45,1/13/2025,111,Not Run-Rate,EMEA,Terry Boot,Pipeline
117,OPP - 117 - Renewal,Renewal,Stage 2,Core,AMER,08/10/2025,06/10/2025,09/02/2022,12/12/2024,"$27,438",REP 33,REP 19,12/09/2024,1073,Not Run-Rate,AMER,Susan Bones,Pipeline
118,OPP - 118 - Upsell,Upsell,Stage 2,Core,JAPAN,5/24/2025,12/24/2024,5/26/2024,5/26/2024,"$27,170",REP 5,REP 5,5/24/2024,363,Not Run-Rate,JAPAN,Colin Creevey,Pipeline
119,OPP - 119 - Net New,Net New,Stage 4,Core,JAPAN,06/01/2025,06/01/2025,5/21/2024,5/21/2024,"$27,117",REP 5,REP 11,5/20/2024,376,Not Run-Rate,JAPAN,Colin Creevey,Best Case
120,OPP - 120 - Net New,Net New,Stage 4,Core,AMER,4/30/2025,05/09/2025,2/26/2025,2/26/2025,"$26,512",REP 15,REP 15,2/24/2025,63,Not Run-Rate,AMER,Hermione Granger,Best Case
121,OPP - 121 - Net New,Net New,Stage 2,Core,JAPAN,06/10/2025,5/13/2024,05/12/2024,05/12/2024,"$26,500",REP 7,REP 7,05/10/2024,394,Not Run-Rate,JAPAN,Colin Creevey,Pipeline
